"municipio","ano","populacao","n_homicidios","n_homicidios_m","cmdm","cerna","sima","creas","trajeto_moda","deam","tjmg","mpmg","dpmg","pavmg","tx_homicidios","tx_homicidios_m","minmax_homicidios","minmax_homicidios_m","zscore_homicidios","zscore_homicidios_m","acumulo_institucional","tx_violencia_nao_letal"
"belo_horizonte",2007,2417113,1048,86,1,1,0,0,0,0,0,0,0,0,43.3575,3.558,1,0.9153,1.7961,1.1416,2,260.5644
"belo_horizonte",2008,2417113,988,88,1,1,0,0,0,0,0,0,0,0,40.8752,3.6407,0.915,0.9492,1.5484,1.2325,2,239.5295
"belo_horizonte",2009,2417113,928,89,1,1,0,0,0,0,0,0,0,0,38.3929,3.6821,0.83,0.9661,1.3007,1.278,2,261.4469
"belo_horizonte",2010,2417113,868,91,1,1,0,0,0,0,0,0,0,0,35.9106,3.7648,0.745,1,1.053,1.3689,2,273.4929
"belo_horizonte",2011,2439161,805,89,1,1,0,0,0,0,0,0,0,1,33.0032,3.6488,0.6558,0.9661,0.7929,1.278,3,323.064
"belo_horizonte",2012,2439161,756,83,1,1,0,0,0,0,1,0,1,0,30.9943,3.4028,0.5864,0.8644,0.5906,1.0052,4,368.4081
"belo_horizonte",2013,2439161,707,75,1,1,0,0,0,1,1,0,1,0,28.9854,3.0748,0.517,0.7288,0.3883,0.6415,5,445.6728
"belo_horizonte",2014,2439161,659,66,1,1,0,0,0,1,1,1,0,0,27.0175,2.7058,0.449,0.5763,0.1901,0.2324,5,429.5801
"belo_horizonte",2015,2446849,610,50,1,1,0,0,0,1,1,1,0,1,24.93,2.0434,0.3796,0.3051,-0.0122,-0.495,6,514.2764
"belo_horizonte",2016,2446849,552,49,1,1,0,1,0,1,1,1,0,1,22.5596,2.0026,0.2975,0.2881,-0.2516,-0.5405,7,536.0593
"belo_horizonte",2017,2446849,515,48,1,1,0,1,0,1,1,1,0,0,21.0475,1.9617,0.245,0.2712,-0.4044,-0.5859,6,519.573
"belo_horizonte",2018,2446849,468,48,1,1,0,1,0,1,1,1,0,0,19.1266,1.9617,0.1785,0.2712,-0.5984,-0.5859,6,542.2997
"belo_horizonte",2019,2446077,373,47,1,1,1,1,0,1,1,1,0,0,15.2489,1.9214,0.0439,0.2542,-0.9906,-0.6314,7,540.1671
"belo_horizonte",2020,2446077,365,44,1,1,1,1,0,1,1,1,1,1,14.9219,1.7988,0.0326,0.2034,-1.0236,-0.7678,9,654.8182
"belo_horizonte",2021,2446077,357,41,1,1,1,1,0,1,1,1,1,1,14.5948,1.6762,0.0212,0.1525,-1.0567,-0.9042,9,665.0002
"belo_horizonte",2022,2446077,350,38,1,1,1,1,0,1,1,1,0,1,14.3086,1.5535,0.0113,0.1017,-1.0856,-1.0405,8,639.5393
"belo_horizonte",2023,2433076,342,32,1,1,1,1,0,1,1,1,0,1,14.0563,1.3152,0,0,-1.1186,-1.3133,8,633.7362
"belo_horizonte",2024,2433076,342,32,1,1,1,1,1,1,1,1,0,1,14.0563,1.3152,0,0,-1.1186,-1.3133,9,651.1532
