"ano","indicador","valor_normalizado"
2007,"capacidade institucional",0
2007,"taxa de homicídios de mulheres",0.915578053559765
2007,"taxa de violencia não letal",0.0494390133686214
2008,"capacidade institucional",0
2008,"taxa de homicídios de mulheres",0.949338667537557
2008,"taxa de violencia não letal",0
2009,"capacidade institucional",0
2009,"taxa de homicídios de mulheres",0.966239386022208
2009,"taxa de violencia não letal",0.0515133032347318
2010,"capacidade institucional",0
2010,"taxa de homicídios de mulheres",1
2010,"taxa de violencia não letal",0.0798255095710941
2011,"capacidade institucional",0.142857142857143
2011,"taxa de homicídios de mulheres",0.952645329849771
2011,"taxa de violencia não letal",0.196334334512392
2012,"capacidade institucional",0.285714285714286
2012,"taxa de homicídios de mulheres",0.85222077073808
2012,"taxa de violencia não letal",0.302908330021623
2013,"capacidade institucional",0.428571428571429
2013,"taxa de homicídios de mulheres",0.718321358589157
2013,"taxa de violencia não letal",0.484506513690495
2014,"capacidade institucional",0.428571428571429
2014,"taxa de homicídios de mulheres",0.56768451992162
2014,"taxa de violencia não letal",0.446683186882229
2015,"capacidade institucional",0.571428571428571
2015,"taxa de homicídios de mulheres",0.297273024167211
2015,"taxa de violencia não letal",0.645748012579856
2016,"capacidade institucional",0.714285714285714
2016,"taxa de homicídios de mulheres",0.280617243631613
2016,"taxa de violencia não letal",0.696945275368213
2017,"capacidade institucional",0.571428571428571
2017,"taxa de homicídios de mulheres",0.263920640104507
2017,"taxa de violencia não letal",0.658197024218526
2018,"capacidade institucional",0.571428571428571
2018,"taxa de homicídios de mulheres",0.263920640104507
2018,"taxa de violencia não letal",0.711612309014995
2019,"capacidade institucional",0.714285714285714
2019,"taxa de homicídios de mulheres",0.247468974526453
2019,"taxa de violencia não letal",0.706599997602809
2020,"capacidade institucional",1
2020,"taxa de homicídios de mulheres",0.197419986936643
2020,"taxa de violencia não letal",0.976068827788877
2021,"capacidade institucional",1
2021,"taxa de homicídios de mulheres",0.147370999346832
2021,"taxa de violencia não letal",1
2022,"capacidade institucional",0.857142857142857
2022,"taxa de homicídios de mulheres",0.0972811887655128
2022,"taxa de violencia não letal",0.94015821342332
2023,"capacidade institucional",0.857142857142857
2023,"taxa de homicídios de mulheres",0
2023,"taxa de violencia não letal",0.926519082832637
2024,"capacidade institucional",1
2024,"taxa de homicídios de mulheres",0
2024,"taxa de violencia não letal",0.96745483810578
